algo,seed,step,ep_reward,ep_length,collision,success
TD-MPC2,0,610,2.9237020015716553,6.0,0.0,0.0
TD-MPC2,0,614,2.066666841506958,5.0,0.0,0.0
TD-MPC2,0,617,1.618036150932312,4.0,0.0,0.0
TD-MPC2,0,632,11.69265365600586,16.0,0.0,0.0
TD-MPC2,0,633,0.0,2.0,0.0,0.0
TD-MPC2,0,635,0.8253726959228516,3.0,0.0,0.0
TD-MPC2,0,639,2.1555557250976562,5.0,0.0,0.0
TD-MPC2,0,641,0.810684084892273,3.0,0.0,0.0
TD-MPC2,0,642,0.0,2.0,0.0,0.0
TD-MPC2,0,646,2.0222222805023193,5.0,0.0,0.0
TD-MPC2,0,648,0.753171980381012,3.0,0.0,0.0
